Year,Skater_Lastname,SP_Total,SP_TES,SP_PCS,FS_Total,FS_TES,FS_PCS,
2013,Kim,69.97,38.79,33.18,148.34,74.73,73.61,
2013,Asada,62.1,29.7,32.4,134.37,65.96,68.41,
2013,Kostner,66.86,34.01,33.85,131.03,61.34,70.69,
2013,Li,56.31,30.76,26.55,127.54,69.41,58.13,
2013,Gold,58.85,30.23,28.62,125.4,65.22,60.18,
2013,Wagner,63.98,33.06,30.92,123.36,61.34,63.02,
2013,Murakami,66.64,36.87,29.77,123.09,60.98,62.11,
2013,Tuktamysheva,54.72,27.97,27.75,119.52,62.28,57.24,
2013,Sotinikova,59.62,30.97,28.65,116.36,55.73,60.63,
2013,Osmond,64.73,35.19,29.54,112.09,53.49,60.6,
2014,Asada,78.66,42.81,35.85,138.03,65.27,72.76,
2014,Lipnitskaia,74.54,40.83,33.71,132.96,65.57,68.39,
2014,Pogorilaya,66.26,36.41,29.85,131.24,67.19,64.05,
2014,Wagner,63.64,30.84,32.8,129.52,63.64,65.88,
2014,Edmunds,60.59,32.07,28.52,129.91,66.39,60.52,
2014,Kostner,77.24,39.78,37.46,126.59,53.81,73.78,
2014,Gold,70.31,37.57,32.74,124.27,58.58,66.69,
2014,Suzuki,71.02,37.34,33.68,122.7,55.57,67.13,
2014,Park,57.22,32.91,25.31,119.39,64.09,55.3,
2014,Murakami,60.86,29.77,31.09,111.58,51.69,59.89,
2015,Tuktamysheva,77.76,44.09,33.53,132.74,66.75,65.99,
2015,Gold,60.73,29.82,30.91,128.23,65.15,63.08,
2015,Wagner,57.81,28.09,30.72,127.2,62.74,64.46,
2015,Miyahara,67.02,37.19,29.83,126.58,65.31,61.27,
2015,Hongo,62.71,34.69,27.48,122.41,61.83,60.58,
2015,Radionova,69.51,38.03,31.48,121.96,60.01,61.95,
2015,Edmunds,61.71,33.94,27.77,116.21,58.45,57.67,
2015,Murakami,65.48,35.31,30.17,114.18,52.48,61.7,
2015,Park,53.95,30.78,24.17,106.8,55.39,51.41,
2015,Meite,57.08,31.33,25.75,105.67,55.43,50.24,
2016,Medvedva,73.76,39.93,33.83,150.1,77.76,72.34,
2016,Wagner,73.16,38.43,34.73,142.23,68.45,73.78,
2016,Miyahara,70.72,37.21,33.51,139.89,73.54,66.35,
2016,Pogorilaya,73.98,39.77,34.21,139.71,71.6,68.11,
2016,Radionova,71.1,38.29,33.41,138.11,70.17,67.94,
2016,Gold,76.43,40.51,35.92,134.86,66.01,69.85,
2016,Asada,65.87,33.27,32.6,134.43,65.13,69.3,
2016,Hongo,68.89,38.29,31.6,129.26,65.66,63.6,
2016,Daleman,67.38,37.46,29.92,128.3,65.15,63.15,
2016,Tursynbaeva,61.63,35.09,26.54,121.99,67.39,55.6,
2017,Medvedva,79.01,42.1,36.91,154.4,78.27,76.13,
2017,Osmond,75.98,41.23,34.75,142.15,70.21,71.94,
2017,Daleman,72.19,39.19,33,141.33,71.73,69.6,
2017,Mihara,59.59,30.88,29.71,138.29,74.4,63.89,
2017,Kostner,66.33,32.44,33.89,130.5,59.47,71.03,
2017,Chen,69.98,38.35,31.63,129.31,65.98,64.33,
2017,Choi,62.66,35.46,27.2,128.45,69.72,58.73,
2017,Tursynbaeva,65.48,36.65,28.83,126.51,68.36,58.15,
2017,Bell,61.02,32.16,28.86,126.21,65.29,60.92,
2017,Wagner,69.04,35.27,33.77,124.5,56.33,68.17,
2018,Osmond,72.73,36.53,36.2,150.5,75.35,75.15,
2018,Higuchi,65.89,34.69,32.2,145.01,74.72,70.92,
2018,Miyahara,74.36,37.79,36.57,135.72,64.2,72.52,
2018,Tennell,68.76,37.53,31.23,131.13,65.83,65.3,
2018,Kostner,80.27,41.3,38.97,128.61,54.71,74.9,
2018,Hendrickx,64.07,35.41,28.66,128.24,65.25,62.99,
2018,Zagitova,79.51,42.51,37,128.21,62.34,69.87,
2018,Daleman,71.61,37.35,34.26,125.11,57.12,67.99,
2018,Sotskova,71.8,37.88,33.92,124.81,58.03,67.78,
2018,Tursynbaeva,62.38,32.24,30.14,124.47,61.16,63.31,
2019,Zagitova,82.08,44.72,37.36,155.42,81.16,74.26,
2019,Kihira,70.9,36.92,33.98,152.59,82.63,70.96,
2019,Medvedva,74.23,37.6,36.63,149.57,76.6,72.97,
2019,Tursynbaeva,75.96,41.78,34.18,148.8,78.97,69.83,
2019,Sakamoto,76.86,41.98,34.88,145.97,72.71,73.26,
2019,Miyahara,70.6,36.37,34.23,145.35,75.18,70.17,
2019,Tennell,69.5,36.09,33.41,143.97,75.69,68.28,
2019,Samodurova,70.42,38.71,31.71,138.16,71.87,66.29,
2019,Bell,71.26,39.11,32.15,136.81,69.51,67.66,
2019,Lim,72.91,40.43,32.48,132.66,67.71,65.95,
2021,Trusova,64.82,30.34,34.48,152.38,88.04,66.34,5
2021,Schcherbakova,81,43.86,37.14,152.17,80.32,72.85,1
2021,Tuktamysheva,78.86,44.39,34.47,141.6,73.52,69.08,
2021,Hendrickx,67.28,36.62,31.66,141.16,74.53,66.63,
2021,Sakamoto,70.38,36.14,34.24,137.42,69.72,67.7,
2021,Chen,74.4,40.88,33.52,134.23,66.34,67.89,
2021,Mikutina,67.18,38.58,28.6,131.59,70.34,61.25,
2021,Tennell,69.87,35.7,34.17,127.94,60.52,67.42,
2021,Kihira,79.08,43.68,35.4,126.62,58.59,69.03,
2021,Ryabova,64.11,35.78,28.33,125.35,68.7,56.65,
2022,Sakamoto,80.32,43.25,37.07,155.77,80.1,75.67,
2022,Hendrickx,75,40.52,34.48,142.7,70.66,72.04,
2022,Liu,71.91,39.11,32.8,139.28,72.63,66.65,
2022,Bell,72.55,38.67,33.88,136.11,66.28,69.83,
2022,Gubanova,62.59,33.8,29.79,134.02,70.92,63.1,
2022,You,72.08,38.04,34.04,132.83,65.7,68.31,
2022,Lee,64.16,32.33,31.83,132.39,68.27,64.12,
2022,Chen,66.16,32.45,33.71,126.35,60.58,65.77,
2022,Kurakova,61.92,31.26,30.66,124.51,64.6,60.91,
2022,Schizas,64.2,34.46,29.74,123.94,62.48,62.46,
2023,Sakamoto,79.24,42.81,36.43,145.37,71.46,73.91,
2023,Lee,73.62,39.51,34.11,147.32,75.53,71.79,
2023,Hendrickx,71.94,37.88,35.06,138.48,69.2,70.28,
2023,Levito,73.03,39.1,33.93,134.62,66.78,68.84,
2023,Mihara,73.46,39.08,34.38,132.24,63.75,68.49,
2023,Kim,64.06,34.61,29.45,139.45,76.78,62.67,
2023,Schott,67.29,36.76,30.53,130.47,65.87,65.6,
2023,Repond,62.75,34.49,28.26,131.34,69.26,62.08,
2023,Petrokina,68,36.7,31.3,125.49,61.52,63.97,
2023,Watanabe,60.9,30.17,31.73,131.91,68.76,64.15,
