discipline_title,event_title,year,participant_type,medal_type,athletes,rank_position,country_name,country_code,country_3_letter_code,athlete_url,athlete_full_name,value_unit,value_type
Figure skating,Women Single Skating,2022,Athlete,,,26,Sweden,SE,SWE,https://olympics.com/en/athletes/josefin-taljegard,Josefin TALJEGARD,54.51,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,10,United States of America,US,USA,https://olympics.com/en/athletes/bell,Mariah BELL,202.3,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,9,Republic of Korea,KR,KOR,https://olympics.com/en/athletes/yelim-kim,Yelim KIM,202.63,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,23,Japan,JP,JPN,https://olympics.com/en/athletes/mana-kawabe,Mana KAWABE,166.73,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,12,Poland,PL,POL,https://olympics.com/en/athletes/ekaterina-kurakova,Ekaterina KURAKOVA,185.84,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,24,Bulgaria,BG,BUL,https://olympics.com/en/athletes/alexandra-feigin,Alexandra FEIGIN,159.31,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,4,ROC,ROC,ROC,https://olympics.com/en/athletes/kamila-valieva,Kamila VALIEVA,224.09,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,13,Belarus,BY,BLR,https://olympics.com/en/athletes/viktoriia-safonova,Viktoriia SAFONOVA,184.83,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,27,People's Republic of China,CN,CHN,https://olympics.com/en/athletes/yi-zhu-x5350,Yi ZHU,53.44,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,25,Finland,FI,FIN,https://olympics.com/en/athletes/saarinen,Jenni SAARINEN,153.04,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,22,Switzerland,CH,SUI,https://olympics.com/en/athletes/paganini,Alexia PAGANINI,168.91,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,7,United States of America,US,USA,https://olympics.com/en/athletes/alysa-liu,Alysa Liu,208.95,POINTS
Figure skating,Women Single Skating,2022,Athlete,GOLD,,1,ROC,ROC,ROC,https://olympics.com/en/athletes/anna-shcherbakova,Anna SHCHERBAKOVA,255.95,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,19,Canada,CA,CAN,https://olympics.com/en/athletes/madeline-schizas,Madeline SCHIZAS,175.56,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,8,Belgium,BE,BEL,https://olympics.com/en/athletes/loena-hendrickx,Loena HENDRICKX,206.79,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,29,Australia,AU,AUS,https://olympics.com/en/athletes/kailani-craine,Kailani CRAINE,49.93,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,11,Georgia,GE,GEO,https://olympics.com/en/athletes/anastasiia-gubanova,Anastasiia GUBANOVA,200.98,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,5,Japan,JP,JPN,https://olympics.com/en/athletes/higuchi,Wakaba HIGUCHI,214.44,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,14,Austria,AT,AUT,https://olympics.com/en/athletes/olga-mikutina,Olga MIKUTINA,182.2,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,15,Azerbaijan,AZ,AZE,https://olympics.com/en/athletes/ekaterina-ryabova,Ekaterina RYABOVA,179.97,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,16,United States of America,US,USA,https://olympics.com/en/athletes/chen-2,Karen CHEN,179.93,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,28,Great Britain,GB,GBR,https://olympics.com/en/athletes/natasha-mckay,Natasha MCKAY,52.54,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,30,Ukraine,UA,UKR,https://olympics.com/en/athletes/anastasiia-shabotova,Anastasiia SHABOTOVA,48.68,POINTS
Figure skating,Women Single Skating,2022,Athlete,SILVER,,2,ROC,ROC,ROC,https://olympics.com/en/athletes/alexandra-trusova,Alexandra Trusova,251.73,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,6,Republic of Korea,KR,KOR,https://olympics.com/en/athletes/you-young,Young YOU,213.09,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,21,Estonia,EE,EST,https://olympics.com/en/athletes/eva-lotta-kiibus,Eva-Lotta KIIBUS,171.75,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,20,Czech Republic,CZ,CZE,https://olympics.com/en/athletes/brezinova,Eliska BREZINOVA,175.41,POINTS
Figure skating,Women Single Skating,2022,Athlete,BRONZE,,3,Japan,JP,JPN,https://olympics.com/en/athletes/kaori-sakamoto,Kaori SAKAMOTO,233.13,POINTS
Figure skating,Women Single Skating,2022,Athlete,,,17,Germany,DE,GER,https://olympics.com/en/athletes/schott,Nicole SCHOTT,177.65,POINTS
